sample	unit	assembly	fq1	fq2
SRR5570996	1	SRR5570996	SRR5570996	SRR5570996
SRR5570998	1	SRR5570998	SRR5570998	SRR5570998
SRR5571000	1	SRR5571000	SRR5571000	SRR5571000
SRR5571002	1	SRR5571002	SRR5571002	SRR5571002
SRR5571006	1	SRR5571006	SRR5571006	SRR5571006
SRR5570999	1	SRR5570999	SRR5570999	SRR5570999
SRR5571001	1	SRR5571001	SRR5571001	SRR5571001
SRR1237780	1	SRR1237780	SRR1237780	SRR1237780
SRR1237781	1	SRR1237781	SRR1237781	SRR1237781
SRR1237782	1	SRR1237782	SRR1237782	SRR1237782
SRR1237783	1	SRR1237783	SRR1237783	SRR1237783
SRR5571004	1	SRR5571004	SRR5571004	SRR5571004
SRR5571005	1	SRR5571005	SRR5571005	SRR5571005
SRR5571008	1	SRR5571008	SRR5571008	SRR5571008
SRR5571009	1	SRR5571009	SRR5571009	SRR5571009
SRR5571010	1	SRR5571010	SRR5571010	SRR5571010
SRR5571011	1	SRR5571011	SRR5571011	SRR5571011
SRR5570991	1	SRR5570991	SRR5570991	SRR5570991
SRR5570992	1	SRR5570992	SRR5570992	SRR5570992
SRR5570993	1	SRR5570993	SRR5570993	SRR5570993
SRR5570994	1	SRR5570994	SRR5570994	SRR5570994
SRR5570995	1	SRR5570995	SRR5570995	SRR5570995
SRR5570997	1	SRR5570997	SRR5570997	SRR5570997
SRR5571003	1	SRR5571003	SRR5571003	SRR5571003
SRR5571007	1	SRR5571007	SRR5571007	SRR5571007
SRR9317868	1	SRR9317868	SRR9317868	SRR9317868
SRR9317869	1	SRR9317869	SRR9317869	SRR9317869
SRR9317870	1	SRR9317870	SRR9317870	SRR9317870
SRR9317872	1	SRR9317872	SRR9317872	SRR9317872
SRR9317875	1	SRR9317875	SRR9317875	SRR9317875
SRR9317876	1	SRR9317876	SRR9317876	SRR9317876
ERR1414239	1	ERR1414239	ERR1414239	ERR1414239
ERR1414241	1	ERR1414241	ERR1414241	ERR1414241
ERR1414244	1	ERR1414244	ERR1414244	ERR1414244
ERR1414254	1	ERR1414254	ERR1414254	ERR1414254
ERR1414240	1	ERR1414240	ERR1414240	ERR1414240
ERR1414242	1	ERR1414242	ERR1414242	ERR1414242
ERR1414243	1	ERR1414243	ERR1414243	ERR1414243
ERR1414249	1	ERR1414249	ERR1414249	ERR1414249
ERR1414250	1	ERR1414250	ERR1414250	ERR1414250
ERR1414251	1	ERR1414251	ERR1414251	ERR1414251
ERR1414252	1	ERR1414252	ERR1414252	ERR1414252
ERR1414253	1	ERR1414253	ERR1414253	ERR1414253
ERR1713333	1	ERR1713333	ERR1713333	ERR1713333
ERR1713337	1	ERR1713337	ERR1713337	ERR1713337
ERR1713340	1	ERR1713340	ERR1713340	ERR1713340
ERR1713342	1	ERR1713342	ERR1713342	ERR1713342
ERR1713344	1	ERR1713344	ERR1713344	ERR1713344
ERR1713346	1	ERR1713346	ERR1713346	ERR1713346
ERR1713349	1	ERR1713349	ERR1713349	ERR1713349
ERR1713350	1	ERR1713350	ERR1713350	ERR1713350
ERR1713351	1	ERR1713351	ERR1713351	ERR1713351
ERR1713352	1	ERR1713352	ERR1713352	ERR1713352
ERR1713355	1	ERR1713355	ERR1713355	ERR1713355
ERR1713358	1	ERR1713358	ERR1713358	ERR1713358
ERR1713359	1	ERR1713359	ERR1713359	ERR1713359
ERR1713361	1	ERR1713361	ERR1713361	ERR1713361
ERR1713363	1	ERR1713363	ERR1713363	ERR1713363
ERR1713366	1	ERR1713366	ERR1713366	ERR1713366
ERR1713367	1	ERR1713367	ERR1713367	ERR1713367
ERR1713368	1	ERR1713368	ERR1713368	ERR1713368
ERR1713370	1	ERR1713370	ERR1713370	ERR1713370
ERR1713371	1	ERR1713371	ERR1713371	ERR1713371
ERR1713372	1	ERR1713372	ERR1713372	ERR1713372
ERR1713374	1	ERR1713374	ERR1713374	ERR1713374
ERR1713376	1	ERR1713376	ERR1713376	ERR1713376
ERR1713381	1	ERR1713381	ERR1713381	ERR1713381
ERR1713382	1	ERR1713382	ERR1713382	ERR1713382
ERR1713384	1	ERR1713384	ERR1713384	ERR1713384
ERR1713385	1	ERR1713385	ERR1713385	ERR1713385
ERR1713386	1	ERR1713386	ERR1713386	ERR1713386
ERR1713389	1	ERR1713389	ERR1713389	ERR1713389
ERR1713391	1	ERR1713391	ERR1713391	ERR1713391
ERR1713392	1	ERR1713392	ERR1713392	ERR1713392
